filename,percentage,patch_1,patch_2,patch_3,patch_4,patch_5,patch_6,patch_7,patch_8,patch_9
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210514-214000.netcdf,0.017836961451247167,49.0,136.0,545.0,154.1875,88.0,1.0625,0.0,0.0,3.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210514-215000.netcdf,0.018055555555555554,57.0,142.0,385.0,156.0625,100.125,3.0625,0.0,0.0,3.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210514-220000.netcdf,0.018442403628117915,59.0,137.0625,276.0,156.0,102.0625,3.0625,0.0,0.0,13.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210515-190000.netcdf,0.00950702947845805,231.0,75.0,11.0625,116.0625,32.3125,43.0,3.0,0.0,3.0625
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210515-191000.netcdf,0.009951700680272109,245.0,90.0,11.0625,157.0625,46.9375,56.0,3.0,0.0,3.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210515-192000.netcdf,0.01056689342403628,220.0,94.0,11.0625,154.0625,49.25,58.8125,2.0,0.0,3.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210515-193000.netcdf,0.011459637188208617,190.0,95.0,11.0625,151.0,51.4375,58.8125,2.0,0.0,3.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210515-194000.netcdf,0.011705668934240363,169.0,91.0,10.0625,147.0,50.625,57.8125,1.0,0.0,1.125
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210515-195000.netcdf,0.012306122448979592,166.0,62.0,9.0,126.0,41.0,34.0,1.0,0.0,2.0625
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210515-200000.netcdf,0.012483219954648525,187.0,51.0,11.0,96.375,34.0,22.0,1.0,0.0,2.0625
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210515-201000.netcdf,0.013099092970521541,185.0,47.0,11.0625,69.0,22.125,6.0,1.0,0.0,2.0625
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210515-202000.netcdf,0.01361201814058957,160.0,43.0625,13.0,66.0,22.0625,0.0,0.0,0.0,2.0625
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210515-203000.netcdf,0.013910884353741496,154.0,74.0625,13.0,63.0,22.1875,0.0,0.0,0.0,2.0625
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210515-204000.netcdf,0.014746485260770974,169.0,88.0625,13.0,61.0,25.0,0.0,0.0,0.0,1.125
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210515-205000.netcdf,0.014845804988662132,216.0,94.0625,12.1875,87.0,30.0,0.0,0.0,0.0,1.0625
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210515-210000.netcdf,0.014691383219954649,234.0,98.0,13.0625,99.0,30.125,0.0,0.0,0.0,1.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210515-211000.netcdf,0.014228798185941043,240.0,89.0,17.0,112.0625,30.125,0.0,0.0,0.0,1.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210515-212000.netcdf,0.014865986394557823,233.0,78.0,24.0,119.0,26.125,0.0,0.0,0.0,1.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210515-213000.netcdf,0.014740589569160998,270.0,76.0,35.0,122.0,29.25,0.0,0.0,0.0,1.0
/ships22/grain/ajorge/data/glm_grids_60min_extra/agg/20210515-214000.netcdf,0.014524489795918367,320.0,79.0,38.0,102.0,36.0,0.0,0.0,0.0,1.0
